ID,Name,Team,Pos,Price,1_Pts,1_xMin,2_Pts,2_xMin,3_Pts,3_xMin,4_Pts,4_xMin,5_Pts,5_xMin,6_Pts,6_xMin,7_Pts,7_xMin,8_Pts,8_xMin
1,David Raya,ARS,G,5.5,2.81,90,4.06,90,2.05,90,1.7,90,3.6,90,1.57,90,4.41,90,2.14,90
2,Aaron Ramsdale,SOU,G,4.5,2.56,90,3.01,90,3.64,90,2.52,90,3.1,90,2.2,90,3.57,0,3.63,90
3,Jordan Pickford,EVE,G,5.0,1.73,90,4.88,90,2.57,0,3.89,90,1.93,90,1.62,90,2.41,90,2.59,90
4,Alisson Becker,LIV,G,5.5,3.41,90,4.89,90,4.79,90,3.59,90,1.81,90,1.66,90,2.86,90,4.4,90
5,Ederson,MCI,G,5.5,2.48,90,1.99,90,1.76,90,4.2,90,1.52,90,3.97,90,4.2,0,2.75,90
6,Guglielmo Vicario,TOT,G,5.0,4.52,90,2.66,0,2.59,90,4.05,90,4.61,90,1.92,90,4.16,90,4.2,90
7,Robert Sánchez,CHE,G,4.5,3.33,90,1.59,90,1.61,90,2.6,90,4.68,90,2.94,90,2.3,0,2.51,90
8,Nick Pope,NEW,G,5.0,4.75,90,3.72,90,4.31,90,4.62,90,4.33,90,2.61,90,2.3,90,4.36,90
9,Bernd Leno,FUL,G,5.0,1.52,90,2.96,90,1.92,90,4.8,90,3.32,90,2.77,90,4.87,90,3.24,90
10,Andries Noppert,BHA,G,4.5,2.5,0,3.63,90,1.68,90,4.68,90,2.01,90,4.95,90,3.85,90,2.33,90
11,Andre Onana,MUN,G,5.0,2.79,90,3.72,90,1.82,90,2.62,90,1.64,90,3.87,0,3.29,90,3.76,90
12,Dean Henderson,CRY,G,4.5,3.92,90,4.78,90,2.69,90,4.74,90,2.4,90,4.36,90,3.35,90,1.83,90
13,Gabriel Magalhães,ARS,D,6.2,4.65,90,2.69,90,4.04,90,4.6,90,3.75,0,2.07,90,3.62,0,1.86,90
14,William Saliba,ARS,D,6.0,1.52,90,3.42,90,3.78,90,3.99,90,2.64,90,3.77,90,3.8,90,1.83,90
15,Jurriën Timber,ARS,D,5.5,2.43,90,4.91,90,4.62,90,4.28,90,3.52,90,2.18,90,2.48,0,3.76,90
16,Ben White,ARS,D,6.0,4.79,90,4.7,90,1.55,90,3.0,90,4.87,90,2.53,90,4.48,90,2.09,90
17,Riccardo Calafiori,ARS,D,5.5,4.78,90,3.5,0,3.65,90,1.99,90,4.57,90,3.94,90,2.76,90,4.33,90
18,Josko Gvardiol,MCI,D,6.0,4.53,90,3.29,90,4.29,90,3.96,90,4.62,90,2.81,0,3.52,0,3.13,90
19,Rúben Dias,MCI,D,5.5,2.5,90,1.61,0,4.38,90,1.94,90,4.19,90,3.68,0,1.68,90,3.39,90
20,Kyle Walker,MCI,D,5.0,4.04,90,3.31,90,4.28,90,3.04,0,1.59,90,4.43,90,2.93,90,2.05,90
21,Virgil van Dijk,LIV,D,6.2,3.42,90,3.81,90,4.84,90,3.44,90,2.97,90,2.75,90,1.55,90,1.66,0
22,Trent Alexander-Arnold,LIV,D,7.0,4.49,90,3.16,0,3.22,90,2.11,90,2.89,90,3.72,0,2.81,90,3.26,90
23,Andrew Robertson,LIV,D,6.0,3.81,90,1.75,90,1.59,90,4.79,90,2.86,90,3.1,90,4.8,90,4.86,90
24,Ibrahima Konaté,LIV,D,5.2,2.19,0,1.85,0,1.83,90,1.75,90,4.46,0,4.35,90,1.91,90,3.7,90
25,Pedro Porro,TOT,D,5.5,4.07,90,2.49,90,4.13,90,4.97,90,2.8,90,2.69,90,4.5,90,4.13,90
26,Cristian Romero,TOT,D,5.5,1.86,90,3.27,90,2.62,90,2.86,0,4.67,0,2.62,90,4.83,90,3.71,90
27,Destiny Udogie,TOT,D,5.0,2.53,90,3.85,90,4.27,90,1.82,90,1.7,90,3.05,90,2.73,90,2.0,90
28,Reece James,CHE,D,5.0,3.66,90,1.79,90,1.75,90,3.97,0,1.8,90,2.81,90,4.34,90,4.95,90
29,Levi Colwill,CHE,D,4.5,2.82,0,4.22,90,2.98,90,1.89,90,1.54,90,1.7,90,1.91,90,4.11,90
30,Marc Cucurella,CHE,D,4.5,4.87,90,2.5,90,2.28,90,1.54,90,1.65,90,3.35,90,1.76,90,4.89,90
31,Kieran Trippier,NEW,D,5.5,3.7,90,3.09,90,3.55,90,1.66,90,4.83,90,3.09,90,2.47,90,3.12,90
32,Fabian Schär,NEW,D,5.0,3.54,0,4.91,90,3.94,90,2.58,90,3.9,90,4.69,90,4.82,90,3.65,90
33,Dan Burn,NEW,D,4.5,4.76,90,1.66,0,2.82,90,4.96,90,3.58,90,4.89,90,4.43,90,2.95,90
34,Vladimír Coufal,WHU,D,4.5,1.7,90,4.35,90,4.99,90,4.19,90,4.47,90,3.08,90,4.84,90,2.3,90
35,Max Kilman,WHU,D,4.5,3.66,90,1.9,90,3.32,90,3.32,90,3.43,90,4.57,90,1.97,0,4.14,90
